Strain_ID	Genus
LK1386	Dermacoccus
LK948	Corynebacterium
LK1204	Granulicatella
LK500	Klebsiella
LK501	Klebsiella
LK525	Klebsiella
LK526	Klebsiella
LK527	Klebsiella
LK894	Klebsiella
LK1279	Pseudoclavibacter
LK434	Corynebacterium
LK444	Corynebacterium
LK1348	Corynebacterium
LK524	Staphylococcus
LK729	Staphylococcus
LK953	Cutibacterium
LK1255	Staphylococcus
LK666	Lysinibacillus
LK668	Lysinibacillus
LK669	Lysinibacillus
LK671	Lysinibacillus
LK716	Lysinibacillus
LK572	Kocuria
LK1027	Brevibacterium
LK1094	Brevibacterium
LK1301	Brevibacterium
LK1363	Brevibacterium
LK904	Brevibacterium
LK978	Brevibacterium
LK951	Dietzia
LK945	Micromonospora
LK1006	Dietzia
LK1017	Dietzia
LK1031	Dietzia
LK1046	Dietzia
LK1092	Dietzia
LK1247	Dietzia
LK1249	Dietzia
LK1256	Dietzia
LK1266	Dietzia
LK1267	Dietzia
LK1268	Dietzia
LK1277	Dietzia
LK1278	Dietzia
LK1283	Dietzia
LK1312	Dietzia
LK439	Dietzia
LK639	Dietzia
LK970	Dietzia
LK975	Dietzia
LK984	Dietzia
LK1078	Escherichia
LK1079	Escherichia
LK1139	Escherichia
LK1140	Escherichia
LK1157	Escherichia
LK1198	Escherichia
LK1232	Escherichia
LK1347	Pseudoglutamicibacter
LK421	Sphingobacterium
LK1311	Microbacterium
LK1095	Staphylococcus
LK1096	Staphylococcus
LK1110	Staphylococcus
LK1116	Staphylococcus
LK1136	Staphylococcus
LK1137	Staphylococcus
LK1138	Staphylococcus
LK1167	Staphylococcus
LK1264	Staphylococcus
LK401	Staphylococcus
LK445	Staphylococcus
LK459	Staphylococcus
LK460	Staphylococcus
LK470	Staphylococcus
LK523	Staphylococcus
LK533	Staphylococcus
LK588	Staphylococcus
LK590	Staphylococcus
LK593	Staphylococcus
LK595	Staphylococcus
LK602	Staphylococcus
LK605	Staphylococcus
LK610	Staphylococcus
LK405	Enterococcus
LK494	Citrobacter
LK704	Citrobacter
LK464	Peribacillus
LK488	Corynebacterium
LK935	Corynebacterium
LK1077	Dermabacter
LK1080	Dermabacter
LK1082	Dermabacter
LK1245	Dermabacter
LK1252	Dermabacter
LK1288	Dermabacter
LK1351	Dermabacter
LK417	Staphylococcus
LK428	Staphylococcus
LK522	Dermabacter
LK557	Dermabacter
LK591	Enterobacter
LK485	Sphingobacterium
LK538	Janibacter
LK679	Janibacter
LK1134	Corynebacterium
LK1102	Oceanobacillus
LK1172	Oceanobacillus
LK1086	Rothia
LK1244	Rothia
LK1259	Rothia
LK1263	Rothia
LK1281	Rothia
LK1282	Rothia
LK1284	Rothia
LK1285	Rothia
LK1287	Rothia
LK1403	Helcococcus
LK617	Helcococcus
LK1002	Micrococcus
LK1007	Micrococcus
LK1008	Micrococcus
LK1009	Micrococcus
LK1012	Micrococcus
LK1014	Micrococcus
LK1018	Micrococcus
LK1019	Micrococcus
LK1022	Micrococcus
LK1025	Micrococcus
LK1026	Micrococcus
LK1036	Micrococcus
LK1048	Micrococcus
LK1049	Micrococcus
LK1050	Micrococcus
LK1051	Micrococcus
LK1053	Micrococcus
LK1056	Micrococcus
LK1070	Micrococcus
LK1072	Micrococcus
LK1073	Micrococcus
LK1090	Micrococcus
LK1091	Micrococcus
LK1099	Micrococcus
LK1104	Micrococcus
LK1105	Micrococcus
LK1106	Micrococcus
LK1113	Micrococcus
LK1117	Micrococcus
LK1121	Micrococcus
LK1145	Micrococcus
LK1147	Micrococcus
LK1159	Micrococcus
LK1173	Micrococcus
LK1206	Micrococcus
LK1207	Micrococcus
LK1208	Micrococcus
LK1224	Micrococcus
LK1231	Micrococcus
LK1274	Micrococcus
LK1275	Micrococcus
LK1306	Micrococcus
LK1330	Micrococcus
LK1334	Micrococcus
LK1335	Micrococcus
LK1379	Micrococcus
LK1380	Micrococcus
LK1382	Micrococcus
LK1383	Micrococcus
LK1384	Micrococcus
LK1390	Micrococcus
LK1392	Micrococcus
LK1393	Micrococcus
LK1397	Micrococcus
LK1400	Micrococcus
LK1402	Micrococcus
LK400	Micrococcus
LK402	Micrococcus
LK408	Micrococcus
LK409	Micrococcus
LK410	Micrococcus
LK412	Micrococcus
LK419	Micrococcus
LK426	Micrococcus
LK427	Micrococcus
LK430	Micrococcus
LK441	Micrococcus
LK443	Micrococcus
LK455	Micrococcus
LK467	Micrococcus
LK508	Micrococcus
LK517	Micrococcus
LK540	Micrococcus
LK542	Micrococcus
LK553	Micrococcus
LK566	Micrococcus
LK569	Micrococcus
LK604	Micrococcus
LK661	Micrococcus
LK694	Micrococcus
LK697	Micrococcus
LK705	Micrococcus
LK719	Micrococcus
LK792	Micrococcus
LK941	Micrococcus
LK1237	Kocuria
LK1250	Kocuria
LK579	Kocuria
LK698	Kocuria
LK478	Kocuria
LK1321	Dietzia
LK949	Dietzia
LK1112	Rothia
LK518	Nesterenkonia
LK1098	Morganella
LK930	Corynebacterium
LK1024	Brachybacterium
LK1045	Brachybacterium
LK1302	Brachybacterium
LK1350	Brachybacterium
LK1404	Brachybacterium
LK630	Brachybacterium
LK1128	Dermacoccus
LK570	Raoultella
LK1093	Kocuria
LK1246	Kocuria
LK938	Brachybacterium
LK1118	Microbacterium
LK442	Klebsiella
LK458	Klebsiella
LK469	Klebsiella
LK583	Klebsiella
LK619	Klebsiella
LK670	Klebsiella
LK461	Klebsiella
LK858	Klebsiella
LK869	Klebsiella
LK561	Corynebacterium
LK465	Corynebacterium
LK466	Corynebacterium
LK1021	Kocuria
LK1055	Kocuria
LK1120	Kocuria
LK934	Kocuria
LK1030	Corynebacterium
LK1041	Corynebacterium
LK1059	Corynebacterium
LK1239	Corynebacterium
LK1269	Corynebacterium
LK1270	Corynebacterium
LK1272	Corynebacterium
LK1346	Corynebacterium
LK1360	Corynebacterium
LK1362	Corynebacterium
LK1366	Corynebacterium
LK1367	Corynebacterium
LK411	Corynebacterium
LK432	Corynebacterium
LK519	Corynebacterium
LK586	Corynebacterium
LK672	Corynebacterium
LK687	Corynebacterium
LK700	Corynebacterium
LK871	Corynebacterium
LK936	Corynebacterium
LK942	Corynebacterium
LK950	Corynebacterium
LK955	Corynebacterium
LK956	Corynebacterium
LK489	Staphylococcus
LK1034	Paenibacillus_A
LK479	Paenibacillus
LK1054	Gordonia
LK712	Niallia
LK1176	Citricoccus
LK1015	Staphylococcus
LK1257	Dermabacter
LK413	Staphylococcus
LK414	Staphylococcus
LK415	Staphylococcus
LK1188	Aestuariimicrobium
LK1085	Brachybacterium
LK1352	Brachybacterium
LK1337	Brevibacterium
LK1289	Corynebacterium
LK1358	Corynebacterium
LK931	Corynebacterium
LK946	Corynebacterium
LK952	Corynebacterium
LK1000	Kocuria
LK960	Kocuria
LK399	Micrococcus
LK403	Staphylococcus
LK404	Micrococcus
LK406	Micrococcus
LK407	Staphylococcus
LK416	Micrococcus
LK418	Micrococcus
LK420	Micrococcus
LK422	Micrococcus
LK423	Micrococcus
LK429	Bacillus
LK431	Micrococcus
LK433	Micrococcus
LK435	Staphylococcus
LK436	Staphylococcus
LK437	Micrococcus
LK438	Micrococcus
LK440	Micrococcus
LK446	Micrococcus
LK447	Corynebacterium
LK448	Micrococcus
LK449	Staphylococcus
LK451	Micrococcus
LK452	Staphylococcus
LK453	Micrococcus
LK454	Micrococcus
LK456	Staphylococcus
LK457	Staphylococcus
LK462	Micrococcus
LK463	Micrococcus
LK468	Micrococcus
LK471	Micrococcus
LK472	Micrococcus
LK473	Staphylococcus
LK474	Micrococcus
LK475	Micrococcus
LK476	Micrococcus
LK477	Micrococcus
LK480	Staphylococcus
LK481	Micrococcus
LK482	Micrococcus
LK484	Micrococcus
LK486	Staphylococcus
LK487	Micrococcus
LK490	Staphylococcus
LK491	Micrococcus
LK493	Micrococcus
LK495	Bacillus
LK496	Staphylococcus
LK497	Staphylococcus
LK498	Micrococcus
LK499	Micrococcus
LK503	Staphylococcus
LK504	Staphylococcus
LK505	Micrococcus
LK506	Micrococcus
LK507	Staphylococcus
LK509	Micrococcus
LK510	Micrococcus
