Target	Isolate	SummmaryScore	NumberTested	IsolateGenus	IsolatePhylum
Fungal	LK1000	1.2	5	Kocuria	Actinomycetota
Fungal	LK1002	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1003	0.6	5	Staphylococcus	Bacillota
Fungal	LK1004	0.2	5	Micrococcus	Actinomycetota
Fungal	LK1005	0.2	5	Micrococcus	Actinomycetota
Fungal	LK1006	0.6	5	Dietzia	Actinomycetota
Fungal	LK1008	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1009	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1011	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1012	1.2	5	Micrococcus	Actinomycetota
Fungal	LK1013	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1015	0.6	5	Staphylococcus	Bacillota
Fungal	LK1017	0.4	5	Dietzia	Actinomycetota
Fungal	LK1018	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1019	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1021	1.6	5	Kocuria	Actinomycetota
Fungal	LK1022	0.6	5	Micrococcus	Actinomycetota
Fungal	LK1024	0.4	5	Brachybacterium	Actinomycetota
Fungal	LK1026	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1027	1.8	5	Brevibacterium	Actinomycetota
Fungal	LK1030	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK1031	0.4	5	Dietzia	Actinomycetota
Fungal	LK1034	0.4	5	Paenibacillus	Bacillota
Fungal	LK1036	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1041	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK1045	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK1046	0.4	5	Dietzia	Actinomycetota
Fungal	LK1049	0.6	5	Micrococcus	Actinomycetota
Fungal	LK1053	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1054	0.4	5	Gordonia	Actinomycetota
Fungal	LK1055	1.2	5	Kocuria	Actinomycetota
Fungal	LK1056	0.6	5	Micrococcus	Actinomycetota
Fungal	LK1059	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1060	1.2	5	Kocuria	Actinomycetota
Fungal	LK1063	0.2	5	Dietzia	Actinomycetota
Fungal	LK1072	0.2	5	Micrococcus	Actinomycetota
Fungal	LK1073	1.4	5	Micrococcus	Actinomycetota
Fungal	LK1075	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1076	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1077	0.4	5	Dermabacter	Actinomycetota
Fungal	LK1080	0.0	5	Dermabacter	Actinomycetota
Fungal	LK1081	0.6	5	Rothia	Actinomycetota
